downsample	seed	iteration	class	precision	recall	f1_score	selection strategy
# ---- 1% Training Data: Base Model (seed 42) ----
0.01	42	0	Kill	0.3333	0.0213	0.04	NULL
0.01	42	0	Live_In	0.3108	0.23	0.2644	NULL
0.01	42	0	Located_In	0.4043	0.4043	0.4043	NULL
0.01	42	0	OrgBased_In	0.8	0.1143	0.2	NULL
0.01	42	0	Work_For	0.1356	0.1053	0.1185	NULL
0.01	42	0	macro avg	0.3968	0.175	0.2054	NULL
0.01	42	0	micro avg	0.3347	0.1943	0.2459	NULL
# ---- 1% Training Data: Self-Training Model (prediction confidence)  ----
# Seed: 42
0.01	42	1	Kill	0.1132	0.1277	0.12	prediction confidence
0.01	42	1	Live_In	0.1635	0.26	0.2008	prediction confidence
0.01	42	1	Located_In	0.3543	0.4787	0.4072	prediction confidence
0.01	42	1	OrgBased_In	0.65	0.1238	0.208	prediction confidence
0.01	42	1	Work_For	0.1161	0.3421	0.1733	prediction confidence
0.01	42	1	macro avg	0.2794	0.2665	0.2219	prediction confidence
0.01	42	1	micro avg	0.199	0.2749	0.2308	prediction confidence
# Seed: 2
0.01	2	1	Kill	0.1765	0.2553	0.2087	prediction confidence
0.01	2	1	Live_In	0.2	0.25	0.2222	prediction confidence
0.01	2	1	Located_In	0.4286	0.4468	0.4375	prediction confidence
0.01	2	1	OrgBased_In	0.4815	0.1238	0.197	prediction confidence
0.01	2	1	Work_For	0.1104	0.2368	0.1506	prediction confidence
0.01	2	1	macro avg	0.2794	0.2626	0.2432	prediction confidence
0.01	2	1	micro avg	0.2287	0.2607	0.2436	prediction confidence
# Seed: 7
# 	Iteration: 1
0.01	7	1	Kill	0.1327	0.2766	0.1793	prediction confidence
0.01	7	1	Live_In	0.2232	0.25	0.2358	prediction confidence
0.01	7	1	Located_In	0.3182	0.4468	0.3717	prediction confidence
0.01	7	1	OrgBased_In	0.6842	0.1238	0.2097	prediction confidence
0.01	7	1	Work_For	0.0804	0.2105	0.1164	prediction confidence
0.01	7	1	macro avg	0.2877	0.2615	0.2226	prediction confidence
0.01	7	1	micro avg	0.1946	0.2583	0.222	prediction confidence
# 	Iteration: 2
0.01	7	2	Kill	0.097	0.2766	0.1436	prediction confidence
0.01	7	2	Live_In	0.155	0.31	0.2067	prediction confidence
0.01	7	2	Located_In	0.4022	0.3936	0.3978	prediction confidence
0.01	7	2	OrgBased_In	0.5714	0.1905	0.2857	prediction confidence
0.01	7	2	Work_For	0.0947	0.1184	0.1053	prediction confidence
0.01	7	2	macro avg	0.2641	0.2578	0.2278	prediction confidence
0.01	7	2	micro avg	0.1978	0.2607	0.2249	prediction confidence
# 	Iteration 3:
0.01	7	3	Kill	0.0963	0.2766	0.1429	prediction confidence
0.01	7	3	Live_In	0.1688	0.26	0.2047	prediction confidence
0.01	7	3	Located_In	0.2886	0.4574	0.3539	prediction confidence
0.01	7	3	OrgBased_In	0.5882	0.0952	0.1639	prediction confidence
0.01	7	3	Work_For	0.1083	0.1711	0.1327	prediction confidence
0.01	7	3	macro avg	0.2501	0.2521	0.1996	prediction confidence
0.01	7	3	micro avg	0.1826	0.2488	0.2106	prediction confidence
# Seed: 13
0.01	13	1	Kill	0.1262	0.2766	0.1733	prediction confidence
0.01	13	1	Live_In	0.1739	0.28	0.2146	prediction confidence
0.01	13	1	Located_In	0.2172	0.5106	0.3048	prediction confidence
0.01	13	1	OrgBased_In	0.8214	0.219	0.3459	prediction confidence
0.01	13	1	Work_For	0.1048	0.1711	0.13	prediction confidence
0.01	13	1	macro avg	0.2887	0.2915	0.2337	prediction confidence
0.01	13	1	micro avg	0.1962	0.2962	0.2361	prediction confidence
# ---- 1% Training Data: Self-Training Model (entropy)  ----
# Seed: 42
